night,n_bars_h1,h1_high,h1_low,h1_open,p02,h1_spread_p50,n_bars_h2,p06,h2_spread_p50,midpoint,range_h1_pips,dev_02_pips,move_06_pips,year
2018-01-02,237,1.103905,1.101585,1.101665,1.1031300000000002,0.000246111111111,240.0,1.10087,0.00024530711610485,1.102745,23.199999999998777,3.8500000000007972,-22.600000000001508,2018
2018-01-03,240,1.105115,1.1038400000000002,1.1049300000000002,1.104225,0.00025051307189535,240.0,1.102125,0.0002379502625888,1.1044775000000002,12.749999999999151,-2.525000000002109,-20.999999999999908,2018
2018-01-04,240,1.099665,1.096415,1.09917,1.09707,0.00024844955863805,240.0,1.103345,0.00024170909090904998,1.09804,32.49999999999975,-9.699999999999154,62.750000000000306,2018
2018-01-08,240,1.09422,1.0914350000000002,1.092485,1.09348,0.00024014705882350002,240.0,1.093665,0.0002335702614379,1.0928275,27.849999999998154,6.524999999999448,1.8500000000010175,2018
2018-01-09,240,1.09468,1.0919500000000002,1.092505,1.0919500000000002,0.0002457198707256,240.0,1.09313,0.00022634559884555,1.093315,27.29999999999899,-13.649999999998386,11.799999999997368,2018
2018-01-10,240,1.09556,1.08814,1.08954,1.0953750000000002,0.00024184859990505,240.0,1.091115,0.00022329931972784998,1.09185,74.19999999999982,35.250000000002224,-42.60000000000152,2018
2018-01-11,240,1.08745,1.085105,1.086805,1.08655,0.0002386526610644,240.0,1.0940950000000005,0.0002217108013936,1.0862775,23.450000000000415,2.7249999999989782,75.45000000000579,2018
2018-01-15,236,1.09216,1.09028,1.0913,1.0904600000000002,0.00023104299471035,240.0,1.09361,0.00022582445904605,1.0912199999999999,18.800000000001038,-7.5999999999964984,31.49999999999764,2018
2018-01-16,238,1.09841,1.09497,1.095205,1.09828,0.0002368257575757,240.0,1.09366,0.0002228888888888,1.0966900000000002,34.40000000000109,15.899999999997583,-46.19999999999846,2018
2018-01-17,237,1.09876,1.0949650000000002,1.095755,1.0961600000000002,0.0002480530973451,240.0,1.09796,0.0002219024547803,1.0968625,37.94999999999771,-7.024999999998283,17.999999999998018,2018
2018-01-18,240,1.0983300000000005,1.0952000000000002,1.09586,1.097835,0.00024803611994545004,240.0,1.09275,0.00021744881691554999,1.0967650000000004,31.300000000002992,10.699999999994603,-50.84999999999784,2018
2018-01-22,240,1.094615,1.091665,1.0941200000000002,1.092245,0.0002202222222222,240.0,1.097965,0.00022693756875685002,1.09314,29.49999999999786,-8.950000000000902,57.200000000001694,2018
2018-01-23,237,1.088615,1.0865300000000002,1.08787,1.088005,0.000224107142857,240.0,1.0900850000000002,0.00021222222222215,1.0875725000000003,20.849999999998925,4.324999999998358,20.800000000000818,2018
2018-01-24,240,1.099475,1.096015,1.098795,1.09682,0.00021592342742175,240.0,1.088225,0.00022214638157895,1.097745,34.600000000000186,-9.250000000000647,-85.94999999999908,2018
2018-01-25,236,1.098925,1.0954700000000002,1.09582,1.0968750000000005,0.00022765407107505,240.0,1.09847,0.00020873626373619998,1.0971975,34.54999999999764,-3.2249999999955925,15.94999999999569,2018
2018-01-29,240,1.10593,1.1039,1.105375,1.104485,0.0002264199689199,240.0,1.1034800000000002,0.00021977124183,1.104915,20.299999999999763,-4.300000000001525,-10.049999999997006,2018
2018-01-30,240,1.1039800000000002,1.09553,1.102785,1.0960550000000002,0.00021990322580645,240.0,1.101915,0.0002206863395225,1.099755,84.5000000000029,-36.999999999998145,58.59999999999754,2018
2018-01-31,239,1.0944250000000002,1.09155,1.093775,1.09424,0.0002194444444444,240.0,1.0945900000000002,0.00020466675244464999,1.0929875,28.75000000000183,12.525000000001008,3.5000000000007248,2018
