night,n_bars_h1,n_bars_h2,h1_high,h1_low,entry_ts,entry_mid,entry_spread,exit_ts,exit_mid,exit_spread,midpoint,dev_pips,side,traded,entry_px,exit_px,gross_pips,spread_cost_pips,net_pips,year,mae_pips,mfe_pips,bars_in_trade
2018-01-04,240.0,240.0,1.099665,1.096415,2018-01-05 01:59:00+00:00,1.09707,0.0002152631578947,2018-01-04 05:59:00+00:00,1.103345,0.000249625,1.09804,-9.699999999999154,BUY,True,1.0971776315789474,1.1032201875,62.75000000000031,4.648881578947,58.10111842105331,2018,0.0,0.0,0
2018-01-08,240.0,240.0,1.09422,1.0914350000000002,2018-01-09 01:59:00+00:00,1.09348,0.0002448717948718,2018-01-08 05:59:00+00:00,1.093665,0.0002298245614035,1.0928275,6.524999999999448,SELL,True,1.093357564102564,1.093779912280702,-1.8500000000010173,4.746963562753,-6.596963562754017,2018,0.0,0.0,0
2018-01-09,240.0,240.0,1.09468,1.0919500000000002,2018-01-10 01:59:00+00:00,1.0919500000000002,0.0002173333333333,2018-01-09 05:59:00+00:00,1.09313,0.0002428571428571,1.093315,-13.649999999998386,BUY,True,1.092058666666667,1.093008571428571,11.799999999997368,4.601904761904,7.1980952380933685,2018,0.0,0.0,0
2018-01-10,240.0,240.0,1.09556,1.08814,2018-01-11 01:59:00+00:00,1.0953750000000002,0.0002040243902439,2018-01-10 05:59:00+00:00,1.091115,0.0002003529411764,1.09185,35.250000000002224,SELL,True,1.0952729878048784,1.0912151764705882,42.60000000000152,4.043773314203,38.55622668579852,2018,0.0,0.0,0
2018-01-15,236.0,240.0,1.09216,1.09028,2018-01-16 01:59:00+00:00,1.0904600000000002,0.0002299999999999,2018-01-15 05:59:00+00:00,1.09361,0.0002317808219178,1.09122,-7.599999999996498,BUY,True,1.090575,1.0934941095890411,31.49999999999764,4.617808219176999,26.88219178082064,2018,0.0,0.0,0
2018-01-16,238.0,240.0,1.09841,1.09497,2018-01-17 01:59:00+00:00,1.09828,0.000220618556701,2018-01-16 05:59:00+00:00,1.09366,0.0002053333333333,1.0966900000000002,15.899999999997585,SELL,True,1.0981696907216494,1.0937626666666669,46.19999999999846,4.259518900343,41.94048109965546,2018,0.0,0.0,0
2018-01-17,237.0,240.0,1.09876,1.0949650000000002,2018-01-18 01:59:00+00:00,1.0961600000000002,0.0001664864864864,2018-01-17 05:59:00+00:00,1.09796,0.0002204672897196,1.0968625,-7.024999999998283,BUY,True,1.0962432432432434,1.0978497663551403,17.999999999998018,3.8695377620599993,14.13046223793802,2018,0.0,0.0,0
2018-01-18,240.0,240.0,1.0983300000000005,1.0952000000000002,2018-01-19 01:59:00+00:00,1.097835,0.0002374999999999,2018-01-18 05:59:00+00:00,1.09275,0.000168606557377,1.0967650000000004,10.699999999994604,SELL,True,1.09771625,1.0928343032786887,50.84999999999784,4.061065573769,46.78893442622884,2018,0.0,0.0,0
2018-01-22,240.0,240.0,1.094615,1.091665,2018-01-23 01:59:00+00:00,1.092245,0.0002261249999999,2018-01-22 05:59:00+00:00,1.097965,0.0002296581196581,1.09314,-8.950000000000902,BUY,True,1.0923580624999998,1.0978501709401711,57.200000000001694,4.55783119658,52.6421688034217,2018,0.0,0.0,0
2018-01-24,240.0,240.0,1.099475,1.096015,2018-01-25 01:59:00+00:00,1.09682,0.0002171527777777,2018-01-24 05:59:00+00:00,1.088225,0.0001529565217391,1.097745,-9.250000000000648,BUY,True,1.0969285763888887,1.0881485217391305,-85.94999999999908,3.701092995168,-89.65109299516708,2018,0.0,0.0,0
