night,n_bars,high,low,open,close,spread_p50_pips,spread_p95_pips,range_pips,session_ret_pips,session_ret_abs_pips,dow,year
2018-02-12,477,1.08403,1.081295,1.08237,1.082575,2.154545454545,4.950154798760799,27.35000000000154,2.0500000000001073,2.0500000000001073,0,2018
2018-02-13,479,1.0808750000000005,1.075085,1.080365,1.077495,2.152577319588,3.7722142857138983,57.900000000004056,-28.69999999999928,28.69999999999928,1,2018
2018-02-14,480,1.0769300000000002,1.0720500000000002,1.07566,1.075565,2.2165422885565,5.201249999999998,48.799999999999955,-0.9499999999995623,0.9499999999995623,2,2018
2018-02-15,479,1.07486,1.0721150000000002,1.07265,1.0738500000000002,2.2843749999989997,5.023977272726199,27.449999999997754,12.000000000000899,12.000000000000899,3,2018
2018-02-18,479,1.072035,1.0702850000000002,1.071995,1.07171,2.249999999999,5.267258064515096,17.499999999999183,-2.8500000000009074,2.8500000000009074,6,2018
2018-02-19,480,1.077095,1.072995,1.073495,1.0758800000000002,2.1574856321835,4.316786538460549,40.99999999999992,23.850000000000815,23.850000000000815,0,2018
2018-02-20,478,1.0754450000000002,1.070545,1.07288,1.07089,2.1499797160234997,4.906250000000049,49.000000000001265,-19.900000000001583,19.900000000001583,1,2018
2018-02-21,480,1.06749,1.0654850000000002,1.066285,1.0669300000000002,2.1250877932285,3.5513235294117487,20.049999999998125,6.450000000002287,6.450000000002287,2,2018
2018-02-22,478,1.072705,1.06776,1.068735,1.07227,2.1605237154144996,5.523839285713946,49.44999999999977,35.350000000000655,35.350000000000655,3,2018
2018-02-25,117,1.077085,1.074755,1.07491,1.076555,3.513953488372,10.4899999999998,23.300000000001653,16.449999999998965,16.449999999998965,6,2018
2018-02-26,420,1.0786250000000002,1.0758100000000002,1.07585,1.0770150000000005,2.127766798418,2.4907564102553996,28.15000000000012,11.650000000005267,11.650000000005267,0,2018
2018-02-27,479,1.079155,1.07591,1.076565,1.0774750000000002,2.195918367346,4.314592391303698,32.450000000001644,9.100000000001884,9.100000000001884,1,2018
2018-02-28,479,1.0776400000000002,1.072555,1.0766050000000005,1.073,2.105555555555,4.356080586080294,50.85000000000228,-36.05000000000524,36.05000000000524,2,2018
2018-03-01,478,1.0702950000000002,1.066135,1.069435,1.06706,2.1234161988765,5.87807692307634,41.600000000001636,-23.75000000000016,23.75000000000016,3,2018
2018-03-04,477,1.07445,1.0708950000000002,1.07234,1.0734750000000002,2.071739130434,4.5333333333329975,35.549999999997524,11.350000000001081,11.350000000001081,6,2018
2018-03-05,479,1.07667,1.073305,1.074595,1.0734150000000002,2.14776119403,3.814249999998099,33.650000000000624,-11.799999999997368,11.799999999997368,0,2018
2018-03-06,478,1.07339,1.0670000000000002,1.0733800000000002,1.0706100000000005,2.185186209439,5.496591346152899,63.899999999998954,-27.69999999999717,27.69999999999717,1,2018
2018-03-07,476,1.07594,1.073495,1.07436,1.07409,2.174342105263,9.531249999999499,24.449999999998084,-2.6999999999999247,2.6999999999999247,2,2018
2018-03-08,477,1.07349,1.0706250000000002,1.07275,1.0714550000000005,2.122727272727,7.8419298245609985,28.649999999998954,-12.94999999999602,12.94999999999602,3,2018
2018-03-11,480,1.077245,1.0741200000000002,1.076995,1.075635,2.121947217284,3.474047619047047,31.249999999998224,-13.600000000000279,13.600000000000279,6,2018
2018-03-12,480,1.0794450000000002,1.07501,1.0793850000000005,1.0752700000000002,2.1305320150655,2.472097345132549,44.350000000001884,-41.150000000003125,41.150000000003125,0,2018
2018-03-13,480,1.07404,1.0706600000000002,1.072275,1.073975,2.118447909284,2.7036274509796,33.799999999999386,16.999999999998128,16.999999999998128,1,2018
